                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83068,                 2.4639,                 1.1648,                0.27301,                0.43503,                 0.3209,                0.24126,                0.84715,                 2.1643,                 1.2271,             0.00017454,             0.00017454,             0.00017454
                      2,                0.76428,                 1.5831,                 1.0964,                0.62572,                0.58565,                0.65036,                0.52268,                0.79668,                 1.2192,                 1.1518,             0.00034121,             0.00034121,             0.00034121
                      3,                0.76578,                 1.3637,                 1.1014,                0.57892,                0.65221,                0.69159,                 0.5528,                0.79787,                 1.2399,                 1.1677,             0.00049921,             0.00049921,             0.00049921
                      4,                0.75307,                  1.246,                 1.0944,                0.79014,                0.70498,                0.77492,                0.63789,                0.71206,                0.94413,                 1.0862,             0.00048694,             0.00048694,             0.00048694
                      5,                0.72585,                 1.1572,                 1.0823,                0.74081,                0.73061,                0.79558,                0.64529,                0.74616,                 0.9064,                 1.1008,             0.00048694,             0.00048694,             0.00048694
                      6,                0.69598,                 1.0379,                 1.0699,                0.87977,                0.76773,                 0.8491,                0.71091,                0.70012,                0.67768,                 1.0733,             0.00047393,             0.00047393,             0.00047393
                      7,                0.68762,                0.99983,                 1.0584,                0.83668,                0.78029,                0.86713,                0.72204,                0.68491,                0.67443,                   1.06,             0.00046091,             0.00046091,             0.00046091
                      8,                0.66699,                0.91882,                 1.0476,                0.91959,                0.82463,                0.90071,                0.74565,                0.69507,                0.59191,                  1.048,             0.00044789,             0.00044789,             0.00044789
                      9,                0.66701,                0.87937,                 1.0466,                0.91758,                0.84923,                0.91259,                0.76778,                 0.6676,                 0.5155,                 1.0386,             0.00043487,             0.00043487,             0.00043487
                     10,                0.64099,                0.84177,                 1.0344,                0.91148,                0.85359,                0.92209,                0.77451,                0.64787,                0.51545,                  1.019,             0.00042185,             0.00042185,             0.00042185
                     11,                0.63334,                0.79975,                 1.0309,                0.92797,                0.84884,                0.91299,                0.77163,                0.63332,                 0.4878,                 1.0094,             0.00040883,             0.00040883,             0.00040883
                     12,                0.62776,                0.79176,                 1.0251,                0.91362,                0.86131,                0.92299,                0.77747,                0.63789,                0.47338,                 1.0317,             0.00039581,             0.00039581,             0.00039581
                     13,                 0.6227,                 0.7544,                 1.0201,                0.91888,                0.87398,                0.93617,                0.78337,                0.65746,                0.44949,                 1.0255,              0.0003828,              0.0003828,              0.0003828
                     14,                0.60463,                0.71846,                 1.0146,                0.93191,                0.87162,                0.93505,                0.78162,                0.65559,                0.43693,                 1.0335,             0.00036978,             0.00036978,             0.00036978
                     15,                0.60238,                0.71394,                 1.0101,                0.93156,                0.86798,                0.93531,                0.79778,                0.61059,                0.43381,                0.98853,             0.00035676,             0.00035676,             0.00035676
                     16,                0.59442,                 0.7007,                  1.004,                0.94986,                0.88402,                0.95164,                0.80223,                0.62408,                0.39466,                  1.006,             0.00034374,             0.00034374,             0.00034374
                     17,                0.58874,                0.67631,                 1.0047,                0.94081,                0.88212,                0.94767,                0.80831,                0.60722,                 0.3954,                0.99234,             0.00033072,             0.00033072,             0.00033072
                     18,                0.58094,                0.66735,                 1.0018,                0.93673,                0.90007,                0.95258,                0.80912,                0.61328,                0.38836,                0.99449,              0.0003177,              0.0003177,              0.0003177
                     19,                0.57486,                0.64617,                 0.9989,                0.96208,                0.89044,                0.95318,                0.81069,                0.61319,                0.39444,                0.98739,             0.00030469,             0.00030469,             0.00030469
                     20,                0.57649,                0.63778,                0.99723,                0.95561,                0.90065,                0.95446,                0.80775,                0.59496,                0.37858,                0.98046,             0.00029167,             0.00029167,             0.00029167
                     21,                0.57093,                0.61818,                0.99562,                0.95654,                0.89714,                0.95638,                0.81293,                0.60486,                0.36154,                0.99145,             0.00027865,             0.00027865,             0.00027865
                     22,                0.56053,                0.61805,                0.99175,                0.95967,                0.91142,                0.96096,                0.82375,                0.58594,                0.35605,                0.96965,             0.00026563,             0.00026563,             0.00026563
                     23,                0.55283,                0.59779,                 0.9862,                 0.9497,                0.91457,                0.95809,                0.82518,                0.58594,                  0.344,                0.97414,             0.00025261,             0.00025261,             0.00025261
                     24,                 0.5576,                0.59892,                  0.985,                0.94435,                0.92397,                0.95912,                 0.8167,                0.60088,                0.34521,                0.98824,             0.00023959,             0.00023959,             0.00023959
                     25,                0.55549,                0.57809,                0.98525,                0.97564,                0.90407,                0.96546,                0.82541,                0.58291,                0.33087,                0.96937,             0.00022657,             0.00022657,             0.00022657
                     26,                0.53959,                0.56305,                0.98116,                0.95553,                0.92092,                0.96266,                0.82971,                0.56712,                0.32122,                0.95961,             0.00021356,             0.00021356,             0.00021356
                     27,                0.53632,                0.56614,                0.97747,                0.95078,                0.92321,                0.96541,                0.82886,                0.58928,                0.33142,                  0.974,             0.00020054,             0.00020054,             0.00020054
                     28,                0.53568,                0.56383,                0.97676,                0.94746,                0.92051,                0.96527,                0.83246,                0.56501,                0.32212,                0.95886,             0.00018752,             0.00018752,             0.00018752
                     29,                0.52867,                0.54154,                0.97348,                0.95439,                0.91867,                0.96536,                0.82866,                 0.5882,                0.32906,                0.96887,              0.0001745,              0.0001745,              0.0001745
                     30,                0.52403,                0.52735,                0.97038,                0.94352,                0.93072,                0.96714,                0.83209,                 0.5788,                  0.316,                0.96756,             0.00016148,             0.00016148,             0.00016148
                     31,                0.52254,                0.32596,                0.94531,                 0.9286,                0.92864,                0.96272,                0.82723,                0.57073,                0.33143,                0.96223,             0.00014846,             0.00014846,             0.00014846
                     32,                0.51316,                0.32065,                0.93961,                 0.9541,                0.92333,                0.96328,                0.82902,                0.57636,                0.33106,                0.96518,             0.00013544,             0.00013544,             0.00013544
                     33,                0.50398,                0.30814,                0.92732,                0.95194,                0.92745,                0.96664,                0.83206,                0.56729,                 0.3177,                0.96352,             0.00012243,             0.00012243,             0.00012243
                     34,                0.50057,                0.29629,                0.92927,                0.95666,                0.92842,                 0.9684,                0.83282,                0.57157,                 0.3166,                0.96819,             0.00010941,             0.00010941,             0.00010941
                     35,                0.49144,                0.28716,                0.91769,                0.95068,                0.93926,                0.96875,                 0.8364,                0.55753,                0.30998,                 0.9532,              9.639e-05,              9.639e-05,              9.639e-05
                     36,                 0.4861,                0.27635,                0.92628,                0.95749,                0.93044,                0.96761,                0.83419,                0.56516,                0.31083,                0.95694,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     37,                0.47838,                0.27196,                0.92097,                0.96016,                0.93346,                0.97014,                0.83641,                0.56148,                0.29793,                0.95938,             7.0353e-05,             7.0353e-05,             7.0353e-05
                     38,                0.47379,                0.26723,                0.91798,                0.95783,                0.93909,                 0.9696,                0.83942,                0.55175,                0.29696,                0.95649,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     39,                0.46161,                0.25387,                0.90401,                0.94651,                0.94925,                0.97192,                 0.8453,                0.55218,                  0.293,                0.95451,             4.4315e-05,             4.4315e-05,             4.4315e-05
                     40,                 0.4538,                0.25135,                0.90455,                0.96031,                0.93391,                0.97048,                0.84675,                0.55064,                0.28963,                0.95057,             3.1297e-05,             3.1297e-05,             3.1297e-05
